x0,y0
611,91
1520,121
1007,322
767,378
1323,393
1004,489
765,510
1320,525
1001,605
763,645
1317,657
999,723
766,784
1317,793
995,837
761,919
1313,928
990,957
760,1051
1313,1061
992,1064
904,1086
1106,1090
1189,1092
892,1184
753,1186
1194,1192
1104,1191
1309,1198
889,1307
1101,1320
754,1322
1185,1322
1309,1335
893,1364
1183,1380
755,1390
1097,1397
1306,1397
599,1409
1511,1413
