x0,y0
500,71
1409,114
913,318
664,370
1220,382
909,483
661,505
1214,519
912,600
662,638
1214,650
911,717
664,777
1213,784
909,833
660,914
1211,923
904,947
658,1048
1214,1056
904,1061
810,1082
1007,1086
1092,1087
804,1179
1002,1179
655,1183
1094,1188
1213,1193
797,1301
999,1312
1090,1313
652,1316
1207,1325
798,1357
1089,1370
654,1386
1001,1389
1207,1389
489,1408
1402,1411
