frame,x,y,dx_from_ref,dy_from_ref
1,279,584,-1115,121
2,279,588,-1115,125
3,279,593,-1115,130
4,278,592,-1116,129
5,276,593,-1118,130
6,282,601,-1112,138
7,281,600,-1113,137
8,280,598,-1114,135
9,280,604,-1114,141
10,278,598,-1116,135
11,279,601,-1115,138
12,279,601,-1115,138
13,278,599,-1116,136
14,278,600,-1116,137
15,277,598,-1117,135
16,277,598,-1117,135
17,277,599,-1117,136
18,277,600,-1117,137
19,278,599,-1116,136
20,278,598,-1116,135
21,277,598,-1117,135
22,278,601,-1116,138
23,277,599,-1117,136
24,277,597,-1117,134
25,278,598,-1116,135
26,278,597,-1116,134
27,278,595,-1116,132
28,277,590,-1117,127
29,278,591,-1116,128
30,277,590,-1117,127
31,278,590,-1116,127
32,278,591,-1116,128
33,278,590,-1116,127
34,272,584,-1122,121
35,273,583,-1121,120
36,273,582,-1121,119
37,272,577,-1122,114
38,273,575,-1121,112
39,276,579,-1118,116
40,275,573,-1119,110
41,276,572,-1118,109
42,276,568,-1118,105
43,276,569,-1118,106
44,276,564,-1118,101
45,277,566,-1117,103
46,278,564,-1116,101
47,280,565,-1114,102
48,280,562,-1114,99
49,280,560,-1114,97
50,281,562,-1113,99
51,280,568,-1114,105
52,282,563,-1112,100
53,282,563,-1112,100
54,282,567,-1112,104
55,281,556,-1113,93
56,282,561,-1112,98
57,283,565,-1111,102
58,283,567,-1111,104
59,282,563,-1112,100
60,283,567,-1111,104
61,282,561,-1112,98
62,284,568,-1110,105
63,283,568,-1111,105
64,284,567,-1110,104
65,283,565,-1111,102
66,283,565,-1111,102
67,283,562,-1111,99
68,283,562,-1111,99
69,284,568,-1110,105
70,283,565,-1111,102
71,284,567,-1110,104
72,284,567,-1110,104
73,284,564,-1110,101
74,283,563,-1111,100
75,284,565,-1110,102
76,285,569,-1109,106
77,284,569,-1110,106
78,284,568,-1110,105
79,284,568,-1110,105
80,285,568,-1109,105
81,230,822,-1164,359
82,287,568,-1107,105
83,230,822,-1164,359
84,230,822,-1164,359
85,230,822,-1164,359
86,230,821,-1164,358
87,230,822,-1164,359
88,230,821,-1164,358
89,231,821,-1163,358
90,230,822,-1164,359
91,230,821,-1164,358
92,230,821,-1164,358
93,230,821,-1164,358
94,230,822,-1164,359
95,230,821,-1164,358
96,230,821,-1164,358
