frame,x,y,dx_from_ref,dy_from_ref
1,1564,259,182,-169
2,1563,258,181,-170
3,1563,259,181,-169
4,1563,259,181,-169
5,1563,259,181,-169
6,1563,259,181,-169
7,65,676,-1317,248
8,77,667,-1305,239
9,88,658,-1294,230
10,98,656,-1284,228
11,111,653,-1271,225
12,70,736,-1312,308
13,72,739,-1310,311
14,72,742,-1310,314
15,73,744,-1309,316
16,73,747,-1309,319
17,72,749,-1310,321
18,71,752,-1311,324
19,69,754,-1313,326
20,67,754,-1315,326
21,66,755,-1316,327
22,66,756,-1316,328
23,1564,259,182,-169
24,1563,259,181,-169
25,1564,259,182,-169
26,1563,259,181,-169
27,68,761,-1314,333
28,69,762,-1313,334
29,70,765,-1312,337
30,71,766,-1311,338
31,73,769,-1309,341
32,73,771,-1309,343
33,73,774,-1309,346
34,73,777,-1309,349
35,72,780,-1310,352
36,1563,259,181,-169
37,1563,259,181,-169
38,1563,259,181,-169
39,1563,259,181,-169
40,1563,259,181,-169
41,1563,259,181,-169
42,1563,259,181,-169
43,1563,259,181,-169
44,1563,259,181,-169
45,1563,259,181,-169
46,1563,259,181,-169
47,1563,259,181,-169
48,1563,259,181,-169
49,1564,259,182,-169
50,1564,259,182,-169
51,1564,259,182,-169
52,1564,259,182,-169
53,137,714,-1245,286
54,137,720,-1245,292
55,138,723,-1244,295
56,141,723,-1241,295
57,142,722,-1240,294
58,143,723,-1239,295
59,147,722,-1235,294
60,151,719,-1231,291
61,87,837,-1295,409
62,89,837,-1293,409
63,90,838,-1292,410
64,91,839,-1291,411
65,91,841,-1291,413
66,92,844,-1290,416
67,93,847,-1289,419
68,93,850,-1289,422
69,94,853,-1288,425
70,94,854,-1288,426
71,94,856,-1288,428
72,94,856,-1288,428
73,94,857,-1288,429
74,94,857,-1288,429
75,94,856,-1288,428
76,88,842,-1294,414
77,87,839,-1295,411
78,86,836,-1296,408
79,85,833,-1297,405
80,84,832,-1298,404
81,84,830,-1298,402
82,84,828,-1298,400
83,84,825,-1298,397
84,83,821,-1299,393
85,83,817,-1299,389
86,82,812,-1300,384
87,81,808,-1301,380
88,81,803,-1301,375
89,81,797,-1301,369
90,81,790,-1301,362
91,82,782,-1300,354
92,82,774,-1300,346
93,83,764,-1299,336
94,84,753,-1298,325
95,76,651,-1306,223
96,78,631,-1304,203
97,81,611,-1301,183
98,84,591,-1298,163
99,88,572,-1294,144
100,92,553,-1290,125
101,97,320,-1285,-108
102,104,308,-1278,-120
103,155,261,-1227,-167
104,200,314,-1182,-114
105,201,306,-1181,-122
106,199,302,-1183,-126
