frame,x,y,dx_from_ref,dy_from_ref
1,1056,474,1,-4
2,1056,474,1,-4
3,1057,475,2,-3
4,1057,475,2,-3
5,1058,475,3,-3
6,1059,475,4,-3
7,1059,475,4,-3
8,1059,475,4,-3
9,1059,475,4,-3
10,1058,475,3,-3
11,1058,475,3,-3
12,1057,474,2,-4
13,1056,475,1,-3
14,1056,475,1,-3
15,1056,474,1,-4
16,1056,474,1,-4
17,1057,475,2,-3
18,1058,475,3,-3
19,1059,475,4,-3
20,1059,475,4,-3
21,1060,475,5,-3
22,1059,475,4,-3
23,1058,474,3,-4
24,1058,475,3,-3
25,1057,475,2,-3
26,1056,474,1,-4
27,1056,475,1,-3
28,1056,474,1,-4
29,1056,474,1,-4
30,1057,475,2,-3
31,1058,475,3,-3
32,1059,475,4,-3
33,1059,475,4,-3
34,1059,475,4,-3
35,1059,475,4,-3
36,1058,474,3,-4
37,1058,475,3,-3
38,1057,475,2,-3
39,1056,474,1,-4
40,1056,474,1,-4
41,1056,474,1,-4
42,1056,474,1,-4
43,1057,474,2,-4
44,1058,474,3,-4
45,1059,475,4,-3
46,1059,475,4,-3
47,1059,475,4,-3
48,1059,475,4,-3
49,1058,474,3,-4
50,1058,474,3,-4
51,1057,474,2,-4
52,1056,474,1,-4
53,1056,474,1,-4
54,1056,474,1,-4
55,1056,474,1,-4
56,1057,474,2,-4
57,1058,474,3,-4
58,1059,475,4,-3
59,1059,474,4,-4
60,1059,475,4,-3
61,1059,475,4,-3
62,1058,475,3,-3
63,1058,474,3,-4
64,1057,474,2,-4
65,1056,474,1,-4
66,1056,474,1,-4
67,1056,474,1,-4
68,1057,474,2,-4
69,1057,474,2,-4
70,1058,475,3,-3
71,1059,475,4,-3
72,1059,475,4,-3
73,1059,475,4,-3
74,1059,475,4,-3
75,1058,474,3,-4
76,1058,475,3,-3
77,1057,474,2,-4
78,1056,474,1,-4
79,1056,475,1,-3
80,1056,475,1,-3
81,1056,475,1,-3
82,1057,474,2,-4
83,1058,475,3,-3
84,1059,474,4,-4
85,1059,474,4,-4
86,1059,475,4,-3
87,1059,475,4,-3
88,1058,475,3,-3
89,1058,475,3,-3
90,1057,475,2,-3
91,1056,474,1,-4
92,1056,474,1,-4
93,1056,474,1,-4
94,1056,474,1,-4
95,1057,474,2,-4
96,1058,475,3,-3
97,1059,475,4,-3
98,1059,475,4,-3
99,1059,475,4,-3
100,1059,474,4,-4
101,1058,475,3,-3
102,1058,475,3,-3
103,1057,475,2,-3
104,1056,474,1,-4
105,1056,474,1,-4
106,1056,475,1,-3
107,1056,474,1,-4
108,1057,474,2,-4
109,1058,474,3,-4
110,1059,475,4,-3
111,1059,475,4,-3
112,1059,475,4,-3
113,1059,474,4,-4
114,1058,474,3,-4
115,1058,474,3,-4
116,1057,474,2,-4
117,1056,474,1,-4
118,1056,474,1,-4
119,1056,474,1,-4
120,1057,474,2,-4
121,1057,474,2,-4
122,1058,474,3,-4
123,1058,474,3,-4
124,1059,475,4,-3
125,1059,475,4,-3
126,1059,474,4,-4
127,1058,474,3,-4
128,1058,474,3,-4
129,1057,474,2,-4
130,1056,474,1,-4
131,1056,474,1,-4
132,1056,474,1,-4
133,1056,474,1,-4
134,1057,474,2,-4
135,1058,475,3,-3
136,1058,474,3,-4
137,1059,475,4,-3
138,1059,475,4,-3
139,1059,475,4,-3
140,1058,474,3,-4
141,1058,474,3,-4
142,1057,474,2,-4
143,1056,474,1,-4
144,1056,474,1,-4
145,1056,474,1,-4
146,1056,474,1,-4
147,1057,474,2,-4
148,1058,474,3,-4
149,1058,475,3,-3
150,1059,474,4,-4
151,1059,475,4,-3
152,1059,474,4,-4
153,1058,475,3,-3
154,1058,474,3,-4
155,1057,474,2,-4
156,1056,474,1,-4
157,1056,474,1,-4
158,1056,474,1,-4
159,1058,475,3,-3
160,1066,475,11,-3
161,1080,475,25,-3
162,1094,476,39,-2
163,1108,477,53,-1
164,1123,477,68,-1
165,1134,477,79,-1
166,1135,477,80,-1
167,1122,477,67,-1
168,1097,476,42,-2
169,1063,475,8,-3
170,1028,473,-27,-5
171,1000,472,-55,-6
172,986,471,-69,-7
173,987,471,-68,-7
174,1004,472,-51,-6
175,1034,473,-21,-5
176,1069,475,14,-3
177,1101,476,46,-2
178,1123,477,68,-1
179,1131,477,76,-1
180,1121,476,66,-2
181,1098,476,43,-2
182,1065,475,10,-3
183,1031,473,-24,-5
184,1003,472,-52,-6
185,987,471,-68,-7
186,988,471,-67,-7
187,1004,472,-51,-6
188,1032,473,-23,-5
189,1066,474,11,-4
190,1099,476,44,-2
191,1121,477,66,-1
192,1130,477,75,-1
193,1121,477,66,-1
194,1099,476,44,-2
195,1067,475,12,-3
196,1033,473,-22,-5
197,1005,471,-50,-7
198,989,471,-66,-7
199,988,471,-67,-7
200,1003,472,-52,-6
201,1031,473,-24,-5
202,1064,475,9,-3
203,1096,476,41,-2
204,1119,477,64,-1
205,1128,477,73,-1
206,1121,477,66,-1
207,1100,476,45,-2
208,1069,475,14,-3
209,1035,473,-20,-5
210,1007,472,-48,-6
211,990,471,-65,-7
