frame,x,y,dx_from_ref,dy_from_ref
1,1096,481,4,1
2,1096,481,4,1
3,1096,481,4,1
4,1097,481,5,1
5,1097,481,5,1
6,1097,481,5,1
7,1097,481,5,1
8,1098,481,6,1
9,1098,481,6,1
10,1098,481,6,1
11,1098,481,6,1
12,1098,481,6,1
13,1097,481,5,1
14,1097,481,5,1
15,1097,481,5,1
16,1096,481,4,1
17,1096,481,4,1
18,1096,481,4,1
19,1095,481,3,1
20,1095,481,3,1
21,1094,481,2,1
22,1094,481,2,1
23,1093,481,1,1
24,1093,481,1,1
25,1092,481,0,1
26,1093,481,1,1
27,1097,481,5,1
28,1100,481,8,1
29,1102,482,10,2
30,1104,482,12,2
31,1107,482,15,2
32,1110,482,18,2
33,1115,482,23,2
34,1120,483,28,3
35,1125,483,33,3
36,1131,483,39,3
37,1137,483,45,3
38,1144,484,52,4
39,1152,484,60,4
40,1161,484,69,4
41,1171,485,79,5
42,1181,486,89,6
43,1190,486,98,6
44,1199,486,107,6
45,1205,487,113,7
46,1208,487,116,7
47,1208,487,116,7
48,1205,487,113,7
49,1197,486,105,6
50,1182,486,90,6
51,1154,484,62,4
52,1114,483,22,3
53,1071,481,-21,1
54,1045,478,-47,-2
55,1044,477,-48,-3
56,1067,477,-25,-3
57,1103,480,11,0
58,1138,484,46,4
59,1159,487,67,7
60,1160,485,68,5
61,1139,483,47,3
62,1105,482,13,2
63,1076,480,-16,0
64,1063,479,-29,-1
65,1070,477,-22,-3
66,1091,478,-1,-2
67,1115,481,23,1
68,1135,486,43,6
69,1146,488,54,8
70,1140,485,48,5
71,1120,480,28,0
72,1090,478,-2,-2
73,1063,478,-29,-2
74,1049,479,-43,-1
75,1056,481,-36,1
76,1081,481,-11,1
77,1111,482,19,2
78,1134,482,42,2
79,1139,483,47,3
80,1123,481,31,1
81,1093,480,1,0
82,1060,479,-32,-1
83,1036,479,-56,-1
84,1031,479,-61,-1
85,1047,479,-45,-1
86,1077,480,-15,0
87,1108,480,16,0
88,1127,482,35,2
89,1125,481,33,1
90,1104,480,12,0
91,1073,479,-19,-1
92,1044,479,-48,-1
93,1028,479,-64,-1
94,1028,479,-64,-1
95,1048,478,-44,-2
96,1078,479,-14,-1
97,1107,480,15,0
98,1124,482,32,2
99,1122,482,30,2
100,1101,481,9,1
101,1072,480,-20,0
102,1046,479,-46,-1
103,1037,479,-55,-1
104,1048,479,-44,-1
105,1074,479,-18,-1
106,1105,481,13,1
107,1128,483,36,3
108,1134,483,42,3
109,1120,481,28,1
110,1094,480,2,0
111,1068,480,-24,0
112,1055,481,-37,1
113,1062,480,-30,0
114,1085,479,-7,-1
115,1113,479,21,-1
116,1135,482,43,2
117,1144,485,52,5
118,1138,485,46,5
119,1121,483,29,3
120,1099,480,7,0
121,1079,478,-13,-2
122,1070,478,-22,-2
123,1074,478,-18,-2
124,1092,480,0,0
125,1117,482,25,2
126,1139,484,47,4
127,1149,485,57,5
128,1143,484,51,4
129,1123,482,31,2
130,1097,480,5,0
131,1073,479,-19,-1
132,1062,479,-30,-1
133,1066,479,-26,-1
134,1084,480,-8,0
135,1109,482,17,2
136,1131,484,39,4
137,1139,484,47,4
138,1131,483,39,3
139,1107,480,15,0
140,1078,479,-14,-1
141,1055,479,-37,-1
142,1047,479,-45,-1
143,1056,480,-36,0
144,1078,481,-14,1
145,1102,481,10,1
146,1117,481,25,1
147,1116,481,24,1
148,1100,480,8,0
149,1076,480,-16,0
150,1053,480,-39,0
151,1041,480,-51,0
152,1045,478,-47,-2
153,1063,478,-29,-2
154,1088,480,-4,0
155,1107,482,15,2
156,1112,482,20,2
157,1099,480,7,0
158,1076,478,-16,-2
159,1054,478,-38,-2
160,1041,479,-51,-1
161,1043,481,-49,1
162,1058,480,-34,0
163,1082,479,-10,-1
164,1105,479,13,-1
165,1120,481,28,1
166,1118,482,26,2
167,1103,482,11,2
168,1081,481,-11,1
169,1062,480,-30,0
170,1054,478,-38,-2
171,1062,478,-30,-2
172,1082,480,-10,0
173,1106,482,14,2
174,1125,483,33,3
175,1132,483,40,3
176,1124,482,32,2
177,1106,481,14,1
178,1087,481,-5,1
179,1076,480,-16,0
180,1078,479,-14,-1
181,1091,479,-1,-1
182,1109,480,17,0
183,1124,483,32,3
184,1134,485,42,5
185,1134,485,42,5
186,1126,482,34,2
187,1110,480,18,0
188,1091,479,-1,-1
189,1079,480,-13,0
190,1078,480,-14,0
191,1090,481,-2,1
192,1109,481,17,1
193,1126,483,34,3
194,1134,483,42,3
195,1130,484,38,4
196,1116,483,24,3
197,1096,480,4,0
198,1077,480,-15,0
199,1067,479,-25,-1
200,1067,480,-25,0
201,1080,480,-12,0
202,1098,482,6,2
203,1114,483,22,3
204,1120,483,28,3
205,1112,482,20,2
206,1094,480,2,0
207,1072,480,-20,0
208,1056,480,-36,0
209,1050,480,-42,0
210,1056,480,-36,0
211,1071,480,-21,0
212,1089,481,-3,1
213,1103,482,11,2
214,1105,482,13,2
215,1097,481,5,1
216,1080,480,-12,0
217,1062,479,-30,-1
218,1050,479,-42,-1
219,1049,480,-43,0
220,1058,480,-34,0
221,1075,480,-17,0
222,1092,481,0,1
223,1103,481,11,1
224,1103,481,11,1
225,1093,481,1,1
226,1078,481,-14,1
227,1064,481,-28,1
228,1059,481,-33,1
229,1064,480,-28,0
230,1078,479,-14,-1
231,1096,480,4,0
232,1112,481,20,1
233,1118,483,26,3
234,1114,483,22,3
235,1102,482,10,2
236,1087,480,-5,0
237,1077,479,-15,-1
238,1074,479,-18,-1
239,1082,480,-10,0
240,1098,481,6,1
241,1115,482,23,2
242,1129,483,37,3
243,1133,483,41,3
244,1127,483,35,3
245,1113,482,21,2
246,1097,481,5,1
247,1086,480,-6,0
248,1083,480,-9,0
249,1089,480,-3,0
250,1103,481,11,1
251,1118,482,26,2
252,1129,484,37,4
253,1133,484,41,4
254,1126,483,34,3
255,1111,482,19,2
256,1094,481,2,1
257,1080,480,-12,0
258,1076,480,-16,0
259,1082,480,-10,0
260,1094,481,2,1
261,1107,482,15,2
262,1116,483,24,3
263,1115,483,23,3
264,1105,482,13,2
265,1089,480,-3,0
266,1074,480,-18,0
267,1065,480,-27,0
268,1066,480,-26,0
269,1075,480,-17,0
270,1088,481,-4,1
271,1099,482,7,2
272,1101,481,9,1
273,1093,480,1,0
274,1079,479,-13,-1
275,1065,479,-27,-1
276,1055,480,-37,0
277,1054,481,-38,1
278,1061,480,-31,0
279,1075,480,-17,0
280,1089,480,-3,0
281,1099,481,7,1
282,1099,481,7,1
283,1090,481,-2,1
284,1075,480,-17,0
285,1062,480,-30,0
286,1056,480,-36,0
287,1060,480,-32,0
288,1073,481,-19,1
289,1088,481,-4,1
290,1101,481,9,1
291,1106,481,14,1
292,1101,481,9,1
293,1090,481,-2,1
294,1079,482,-13,2
295,1074,481,-18,1
296,1079,480,-13,0
297,1090,479,-2,-1
298,1105,481,13,1
299,1116,483,24,3
300,1120,484,28,4
301,1115,483,23,3
302,1105,482,13,2
303,1094,480,2,0
304,1085,480,-7,0
305,1085,480,-7,0
306,1094,481,2,1
307,1108,482,16,2
308,1122,482,30,2
309,1130,483,38,3
310,1129,483,37,3
311,1118,483,26,3
312,1105,482,13,2
313,1094,480,2,0
314,1089,480,-3,0
315,1091,480,-1,0
316,1099,481,7,1
317,1109,483,17,3
318,1117,483,25,3
319,1119,483,27,3
320,1113,481,21,1
321,1100,481,8,1
322,1087,481,-5,1
323,1079,481,-13,1
324,1079,481,-13,1
325,1087,480,-5,0
326,1098,481,6,1
327,1106,482,14,2
328,1107,482,15,2
329,1099,482,7,2
330,1085,480,-7,0
331,1071,479,-21,-1
332,1062,480,-30,0
333,1062,480,-30,0
334,1069,480,-23,0
335,1081,481,-11,1
336,1091,481,-1,1
337,1095,481,3,1
338,1092,480,0,0
339,1082,480,-10,0
340,1071,480,-21,0
341,1062,480,-30,0
342,1059,480,-33,0
343,1064,479,-28,-1
344,1074,480,-18,0
345,1085,481,-7,1
346,1092,481,0,1
347,1092,481,0,1
348,1086,480,-6,0
349,1077,480,-15,0
350,1069,480,-23,0
351,1067,480,-25,0
352,1072,480,-20,0
353,1083,480,-9,0
354,1095,480,3,0
355,1105,481,13,1
356,1108,482,16,2
357,1104,482,12,2
358,1096,482,4,2
359,1087,481,-5,1
360,1082,480,-10,0
361,1083,480,-9,0
362,1091,480,-1,0
363,1102,482,10,2
364,1113,482,21,2
365,1120,483,28,3
366,1121,483,29,3
367,1115,482,23,2
368,1106,482,14,2
369,1098,481,6,1
370,1094,481,2,1
371,1096,480,4,0
372,1102,481,10,1
373,1110,482,18,2
374,1117,483,25,3
375,1121,483,29,3
376,1120,483,28,3
377,1113,482,21,2
378,1103,481,11,1
379,1094,481,2,1
380,1088,481,-4,1
381,1090,481,-2,1
382,1095,481,3,1
383,1103,481,11,1
384,1109,482,17,2
385,1110,482,18,2
386,1105,482,13,2
387,1096,481,4,1
388,1085,481,-7,1
389,1077,480,-15,0
390,1073,480,-19,0
391,1075,480,-17,0
392,1082,481,-10,1
393,1089,481,-3,1
394,1094,481,2,1
395,1094,481,2,1
396,1088,481,-4,1
397,1079,480,-13,0
398,1070,480,-22,0
399,1064,480,-28,0
400,1062,480,-30,0
401,1067,480,-25,0
402,1075,480,-17,0
403,1083,481,-9,1
404,1088,481,-4,1
405,1089,481,-3,1
406,1084,481,-8,1
407,1077,480,-15,0
408,1070,480,-22,0
409,1066,480,-26,0
410,1067,480,-25,0
411,1074,480,-18,0
412,1083,481,-9,1
413,1092,481,0,1
414,1098,481,6,1
415,1098,481,6,1
416,1094,481,2,1
417,1088,481,-4,1
418,1082,481,-10,1
419,1081,480,-11,0
420,1085,481,-7,1
421,1093,481,1,1
422,1102,481,10,1
423,1110,482,18,2
424,1114,482,22,2
425,1112,482,20,2
426,1107,482,15,2
427,1100,481,8,1
428,1095,481,3,1
429,1094,481,2,1
430,1098,481,6,1
431,1106,481,14,1
432,1114,482,22,2
433,1119,483,27,3
434,1120,483,28,3
435,1117,482,25,2
436,1110,482,18,2
437,1102,481,10,1
438,1096,481,4,1
439,1094,481,2,1
440,1096,481,4,1
441,1102,481,10,1
442,1108,482,16,2
443,1112,482,20,2
444,1112,482,20,2
445,1107,482,15,2
446,1098,481,6,1
447,1089,481,-3,1
448,1082,480,-10,0
449,1080,481,-12,1
450,1082,481,-10,1
451,1088,481,-4,1
452,1094,481,2,1
453,1096,481,4,1
454,1095,481,3,1
455,1089,481,-3,1
456,1081,480,-11,0
457,1073,480,-19,0
458,1068,480,-24,0
459,1068,480,-24,0
460,1072,480,-20,0
461,1078,480,-14,0
462,1083,480,-9,0
463,1086,480,-6,0
464,1084,481,-8,1
465,1079,480,-13,0
466,1072,480,-20,0
467,1068,480,-24,0
468,1066,480,-26,0
469,1070,480,-22,0
470,1077,480,-15,0
471,1085,481,-7,1
472,1091,481,-1,1
473,1093,481,1,1
474,1089,480,-3,0
475,1083,480,-9,0
476,1078,480,-14,0
477,1076,480,-16,0
478,1078,480,-14,0
479,1086,481,-6,1
480,1095,481,3,1
481,1104,481,12,1
482,1108,482,16,2
483,1107,482,15,2
484,1102,482,10,2
485,1097,481,5,1
486,1093,481,1,1
487,1094,481,2,1
488,1098,481,6,1
489,1105,482,13,2
490,1112,482,20,2
491,1115,483,23,3
492,1115,482,23,2
493,1111,482,19,2
494,1105,482,13,2
495,1100,481,8,1
496,1099,481,7,1
497,1101,481,9,1
498,1107,481,15,1
499,1113,482,21,2
500,1116,483,24,3
501,1115,483,23,3
502,1110,482,18,2
503,1103,481,11,1
504,1095,481,3,1
505,1090,480,-2,0
506,1089,481,-3,1
507,1092,481,0,1
508,1097,482,5,2
509,1102,481,10,1
510,1103,481,11,1
511,1100,481,8,1
512,1092,481,0,1
513,1084,481,-8,1
514,1078,481,-14,1
515,1076,480,-16,0
516,1079,481,-13,1
517,1083,481,-9,1
518,1087,481,-5,1
519,1088,481,-4,1
520,1084,480,-8,0
521,1078,480,-14,0
522,1071,480,-21,0
523,1067,480,-25,0
524,1067,480,-25,0
525,1071,480,-21,0
526,1077,480,-15,0
527,1083,480,-9,0
528,1086,480,-6,0
529,1086,481,-6,1
530,1081,480,-11,0
531,1075,480,-17,0
532,1070,480,-22,0
533,1069,480,-23,0
534,1073,480,-19,0
535,1080,480,-12,0
536,1087,481,-5,1
537,1093,481,1,1
538,1094,481,2,1
539,1092,481,0,1
540,1088,481,-4,1
541,1085,481,-7,1
542,1085,481,-7,1
543,1090,481,-2,1
544,1096,481,4,1
545,1103,482,11,2
546,1107,482,15,2
547,1108,482,16,2
548,1106,482,14,2
549,1101,481,9,1
550,1097,481,5,1
551,1096,481,4,1
552,1098,481,6,1
553,1103,482,11,2
554,1110,482,18,2
555,1116,482,24,2
556,1118,482,26,2
557,1116,482,24,2
558,1110,482,18,2
559,1104,482,12,2
560,1100,481,8,1
561,1099,481,7,1
562,1100,481,8,1
563,1104,482,12,2
564,1107,482,15,2
565,1109,482,17,2
566,1108,482,16,2
567,1104,481,12,1
568,1097,481,5,1
569,1091,481,-1,1
570,1088,481,-4,1
571,1089,481,-3,1
572,1092,481,0,1
573,1095,481,3,1
574,1096,481,4,1
575,1095,481,3,1
576,1090,481,-2,1
577,1083,480,-9,0
578,1076,480,-16,0
579,1072,480,-20,0
580,1072,480,-20,0
581,1075,481,-17,1
582,1080,481,-12,1
583,1083,480,-9,0
584,1085,481,-7,1
585,1083,480,-9,0
586,1079,480,-13,0
