frame,x,y,dx_from_ref,dy_from_ref
1,1320,473,346,-19
2,1321,473,347,-19
3,1321,473,347,-19
4,1321,473,347,-19
5,1321,473,347,-19
6,1321,473,347,-19
7,1321,473,347,-19
8,1321,473,347,-19
9,1321,472,347,-20
10,1321,472,347,-20
11,1321,472,347,-20
12,1321,472,347,-20
13,1321,472,347,-20
14,1321,472,347,-20
15,1321,472,347,-20
16,1321,472,347,-20
17,1321,472,347,-20
18,1321,472,347,-20
19,1321,471,347,-21
20,1321,471,347,-21
21,1321,471,347,-21
22,1321,471,347,-21
23,1321,471,347,-21
24,1321,471,347,-21
25,1321,471,347,-21
26,1321,471,347,-21
27,1321,471,347,-21
28,1321,471,347,-21
29,1321,471,347,-21
30,1321,471,347,-21
31,1321,471,347,-21
32,1321,471,347,-21
33,1321,472,347,-20
34,1321,472,347,-20
35,1321,472,347,-20
36,1320,473,346,-19
37,1317,474,343,-18
38,1311,478,337,-14
39,1299,482,325,-10
40,1284,484,310,-8
41,1265,490,291,-2
42,1250,497,276,5
43,1237,500,263,8
44,1227,504,253,12
45,1211,505,237,13
46,1189,511,215,19
47,1161,519,187,27
48,1127,525,153,33
49,1094,531,120,39
50,1065,535,91,43
51,1039,538,65,46
52,1017,539,43,47
53,994,539,20,47
54,967,539,-7,47
55,938,538,-36,46
56,908,536,-66,44
57,880,533,-94,41
58,857,529,-117,37
59,837,527,-137,35
60,821,525,-153,33
61,808,524,-166,32
62,795,521,-179,29
63,783,519,-191,27
64,772,517,-202,25
65,762,514,-212,22
66,756,512,-218,20
67,752,511,-222,19
68,752,511,-222,19
69,755,512,-219,20
70,761,514,-213,22
71,767,516,-207,24
72,774,518,-200,26
73,781,519,-193,27
74,790,522,-184,30
75,802,523,-172,31
76,816,525,-158,33
77,833,528,-141,36
78,850,530,-124,38
79,868,532,-106,40
80,886,534,-88,42
81,904,536,-70,44
82,922,537,-52,45
83,942,537,-32,45
84,962,538,-12,46
85,983,537,9,45
86,1003,537,29,45
87,1021,535,47,43
88,1038,534,64,42
89,1055,533,81,41
90,1071,532,97,40
91,1087,530,113,38
92,1102,528,128,36
93,1116,526,142,34
94,1128,525,154,33
95,1137,523,163,31
96,1144,522,170,30
97,1148,521,174,29
98,1152,520,178,28
99,1156,519,182,27
100,1158,519,184,27
101,1158,519,184,27
102,1155,519,181,27
103,1150,520,176,28
104,1142,522,168,30
105,1134,523,160,31
106,1125,525,151,33
107,1115,527,141,35
108,1105,528,131,36
109,1094,530,120,38
110,1081,531,107,39
111,1066,533,92,41
112,1050,535,76,43
113,1033,536,59,44
114,1017,537,43,45
115,1002,538,28,46
116,988,538,14,46
117,973,538,-1,46
118,958,538,-16,46
119,942,537,-32,45
120,926,536,-48,44
121,911,536,-63,44
122,898,535,-76,43
123,887,533,-87,41
124,877,532,-97,40
125,868,531,-106,39
126,860,530,-114,38
127,852,529,-122,37
128,845,528,-129,36
129,840,527,-134,35
130,836,526,-138,34
131,834,526,-140,34
132,834,526,-140,34
133,836,526,-138,34
134,838,526,-136,34
135,841,527,-133,35
136,845,527,-129,35
137,850,528,-124,36
138,856,529,-118,37
139,864,530,-110,38
140,873,532,-101,40
141,884,533,-90,41
142,894,534,-80,42
143,906,535,-68,43
144,917,536,-57,44
145,929,536,-45,44
146,941,537,-33,45
147,953,537,-21,45
148,966,537,-8,45
149,979,537,5,45
150,992,536,18,44
151,1005,536,31,44
152,1017,535,43,43
153,1028,534,54,42
154,1038,534,64,42
155,1047,533,73,41
156,1056,532,82,40
157,1064,531,90,39
158,1072,530,98,38
159,1079,530,105,38
160,1084,529,110,37
161,1088,529,114,37
162,1090,529,116,37
163,1090,529,116,37
164,1090,529,116,37
165,1090,529,116,37
166,1088,529,114,37
167,1086,529,112,37
168,1083,530,109,38
169,1078,531,104,39
170,1072,532,98,40
171,1064,533,90,41
172,1056,534,82,42
173,1048,535,74,43
174,1040,535,66,43
175,1031,536,57,44
176,1022,536,48,44
177,1012,537,38,45
178,1001,537,27,45
179,990,538,16,46
180,979,538,5,46
181,968,538,-6,46
182,958,538,-16,46
183,949,538,-25,46
184,940,537,-34,45
185,931,536,-43,44
186,922,536,-52,44
187,913,535,-61,43
188,905,535,-69,43
189,898,534,-76,42
190,892,533,-82,41
191,888,533,-86,41
192,884,533,-90,41
193,881,532,-93,40
194,878,532,-96,40
195,876,531,-98,39
196,874,531,-100,39
197,874,531,-100,39
198,875,531,-99,39
199,878,532,-96,40
200,882,532,-92,40
201,886,533,-88,41
202,890,533,-84,41
203,895,534,-79,42
204,900,534,-74,42
205,906,535,-68,43
206,913,535,-61,43
207,921,536,-53,44
208,930,536,-44,44
209,939,536,-35,44
210,947,537,-27,45
211,955,537,-19,45
212,963,537,-11,45
213,972,537,-2,45
214,981,537,7,45
215,990,536,16,44
216,999,536,25,44
217,1008,535,34,43
218,1015,535,41,43
219,1022,534,48,42
220,1028,534,54,42
221,1033,534,59,42
222,1039,533,65,41
223,1044,533,70,41
224,1049,532,75,40
225,1052,532,78,40
226,1054,532,80,40
227,1055,532,81,40
228,1056,532,82,40
229,1055,532,81,40
230,1054,532,80,40
231,1053,533,79,41
232,1051,533,77,41
233,1048,533,74,41
234,1044,534,70,42
235,1040,534,66,42
236,1034,535,60,43
237,1028,535,54,43
238,1022,536,48,44
239,1016,536,42,44
240,1009,536,35,44
241,1002,537,28,45
242,995,537,21,45
243,987,537,13,45
244,979,537,5,45
245,972,537,-2,45
246,964,537,-10,45
247,957,537,-17,45
248,950,537,-24,45
249,943,536,-31,44
250,937,536,-37,44
251,931,536,-43,44
252,925,535,-49,43
253,920,535,-54,43
254,915,535,-59,43
255,911,534,-63,42
256,908,534,-66,42
257,905,534,-69,42
258,903,534,-71,42
259,902,534,-72,42
260,902,534,-72,42
261,902,534,-72,42
262,902,534,-72,42
263,903,534,-71,42
264,906,534,-68,42
265,909,534,-65,42
266,912,535,-62,43
267,917,535,-57,43
268,921,535,-53,43
269,926,535,-48,43
270,931,535,-43,43
271,937,536,-37,44
272,943,536,-31,44
273,950,536,-24,44
274,957,536,-17,44
275,964,536,-10,44
276,972,536,-2,44
277,978,536,4,44
278,985,536,11,44
279,991,536,17,44
280,998,536,24,44
281,1004,535,30,43
282,1010,535,36,43
283,1016,535,42,43
284,1022,535,48,43
285,1026,535,52,43
286,1030,534,56,42
287,1033,534,59,42
288,1036,534,62,42
289,1039,534,65,42
290,1040,534,66,42
291,1042,534,68,42
292,1042,534,68,42
293,1042,534,68,42
294,1041,534,67,42
295,1039,535,65,43
296,1036,535,62,43
297,1034,535,60,43
298,1030,536,56,44
299,1027,536,53,44
300,1023,536,49,44
301,1018,537,44,45
302,1013,537,39,45
303,1007,537,33,45
304,1002,538,28,46
305,996,538,22,46
306,990,538,16,46
307,984,539,10,47
308,977,539,3,47
309,971,539,-3,47
310,965,539,-9,47
311,959,539,-15,47
312,953,539,-21,47
313,948,539,-26,47
314,942,539,-32,47
315,937,539,-37,47
316,933,539,-41,47
317,929,539,-45,47
318,926,539,-48,47
319,923,539,-51,47
320,920,539,-54,47
321,919,539,-55,47
322,917,539,-57,47
323,916,539,-58,47
324,916,539,-58,47
325,917,539,-57,47
326,918,540,-56,48
327,919,540,-55,48
328,921,540,-53,48
329,924,540,-50,48
330,927,540,-47,48
331,931,540,-43,48
332,935,540,-39,48
333,939,540,-35,48
334,944,540,-30,48
335,949,540,-25,48
336,954,540,-20,48
337,960,539,-14,47
338,966,539,-8,47
339,972,539,-2,47
340,977,539,3,47
341,983,539,9,47
342,989,539,15,47
343,994,539,20,47
344,1000,538,26,46
345,1005,538,31,46
346,1010,538,36,46
347,1015,538,41,46
348,1019,538,45,46
349,1022,538,48,46
350,1025,538,51,46
351,1028,538,54,46
352,1030,538,56,46
353,1032,538,58,46
354,1033,538,59,46
355,1034,538,60,46
356,1034,538,60,46
357,1034,538,60,46
358,1033,538,59,46
359,1031,538,57,46
360,1029,538,55,46
361,1026,539,52,47
362,1023,539,49,47
363,1020,539,46,47
364,1017,539,43,47
365,1013,539,39,47
366,1008,539,34,47
367,1003,540,29,48
368,998,540,24,48
369,993,540,19,48
370,988,540,14,48
371,983,540,9,48
372,978,540,4,48
373,973,540,-1,48
374,968,540,-6,48
375,963,540,-11,48
376,958,540,-16,48
377,953,540,-21,48
378,949,539,-25,47
379,945,539,-29,47
380,942,539,-32,47
381,939,539,-35,47
382,937,539,-37,47
383,934,539,-40,47
384,932,538,-42,46
385,931,538,-43,46
386,930,538,-44,46
387,930,538,-44,46
388,930,538,-44,46
389,931,538,-43,46
390,932,538,-42,46
391,934,538,-40,46
392,936,538,-38,46
393,938,538,-36,46
394,941,538,-33,46
395,945,538,-29,46
396,948,538,-26,46
397,952,539,-22,47
398,957,539,-17,47
399,961,539,-13,47
400,965,539,-9,47
401,970,539,-4,47
402,975,539,1,47
